5S_rRNA	RF00001	5S ribosomal RNA
flg-Rhizobiales	RF01736	flg-Rhizobiales RNA
flpD	RF01737	flpD RNA
gabT	RF01738	gabT RNA
glnA	RF01739	Glutamine riboswitch
gyrA	RF01740	gyrA RNA
lactis-plasmid	RF01742	lactis-plasmid RNA
leu-phe_leader	RF01743	leu/phe leader RNA from Lactococcus
livK	RF01744	livK RNA
manA	RF01745	manA RNA
mraW	RF01746	mraW RNA
msiK	RF01747	msiK RNA
nuoG	RF01748	nuoG RNA
pan	RF01749	pan motif
ZMP-ZTP	RF01750	ZMP/ZTP riboswitch
potC	RF01751	potC RNA
psaA	RF01752	psaA RNA
psbNH	RF01753	psbNH RNA
radC	RF01754	radC RNA
rmf	RF01755	rmf RNA
rne-II	RF01756	rne-II RNA
sbcD	RF01757	sbcD RNA
sucA-II	RF01758	sucA-II RNA
sucC	RF01759	sucC RNA
traJ-II	RF01760	traJ-II RNA
wcaG	RF01761	wcaG RNA
whalefall-1	RF01762	Whalefall-1 RNA
ykkC-III	RF01763	Guanidine-III riboswitch
yjdF	RF01764	yjdF RNA
srg1	RF01765	srg1
cspA	RF01766	cspA thermoregulator
SMK_box_riboswitch	RF01767	SMK box translational riboswitch
flavi_FSE	RF01768	ribosomal frameshift site
greA	RF01769	Enterobacteria greA leader
rimP	RF01770	Gammaprotebacteria rimP leader
rnk_leader	RF01771	Enterobacteria rnk leader
rnk_pseudo	RF01772	Pseudomonas rnk leader
rpsL_pseudo	RF01773	Pseudomonas rpsL leader
rpsL_ricks	RF01774	Rickettsia rpsL leader
RsaOG	RF01775	RNA S.aureus Orsay G
RatA	RF01776	RNA anti-toxin A
Evf-2_5p	RF01778	Embryonic ventral forebrain-2 long ncRNA
AS1726	RF01779	AS1726 sRNA
AS1890	RF01780	AS1890 sRNA
ASdes	RF01781	ASdes TB sRNA
ASpks	RF01782	ASpks TB sRNA
b55	RF01783	Mycobacterium B11
bablM	RF01784	bablM sRNA
blv_FSE	RF01785	ribosomal frameshift site
c-di-GMP-II	RF01786	Cyclic di-GMP-II riboswitch
drz-agam-1	RF01787	drz-agam-1 ribozyme
drz-agam-2-2	RF01788	drz-agam-2-2 ribozyme
EBER1	RF01789	Epstein-Barr virus EBER1
htlv_FSE	RF01790	ribosomal frameshift site
F6	RF01791	F6 TB sRNA
eiav_FSE	RF01792	ribosomal frameshift site
ffh	RF01793	ffh sRNA
sok	RF01794	sok antitoxin (CssrC)
FourU	RF01795	FourU thermometer RNA element
frnS	RF01796	Fumarate/nitrate reductase regulator sRNA
fstAT	RF01797	Fst antitoxin sRNA
g2	RF01798	G2
gadd7	RF01800	growth arrested DNA-damage inducible gene 7
HSUR	RF01802	Herpesvirus saimiri U RNA1/RNA2
GABA3	RF01803	Editing element of GABA-3 exon 9
Lambda_thermo	RF01804	Lambda phage CIII thermoregulator element
GIR1	RF01807	GIR1 branching ribozyme
MicX	RF01808	MicX Vibrio cholerae sRNA
symR	RF01809	SymR antitoxin
pntA	RF01810	pntA sRNA
PtaRNA1	RF01811	Plasmid transferred anti-sense RNA
Pxr	RF01812	Pxr regulatory sRNA
rdlD	RF01813	rdlD antitoxin
rhtB	RF01814	rhtB sRNA
rpsB	RF01815	rpsB sRNA
RsaA	RF01816	RNA Staph. aureus A
RsaB	RF01817	RNA Staph. aureus A
RsaC	RF01818	RNA Staph. aureus C
RsaD	RF01819	RNA Staph. aureus D
RsaE	RF01820	RNA Staph. aureus E (RoxS)
RsaH	RF01821	RNA Staph. aureus H
RsaJ	RF01822	RNA Staph. aureus A
rspL	RF01823	rpsL sRNA
RUF20	RF01824	RNA of unknown function 20
RUF21	RF01825	RNA of unknown function 21
SAM_V	RF01826	SAM-V riboswitch
SAR11_0636	RF01827	SAR11_0636 sRNA
SprD	RF01828	Small pathogenicity island RNA D
sR6	RF01829	sR6 snoRNA
StyR-44	RF01830	Salmonella enterica Typhi npcRNA 44
THF	RF01831	THF riboswitch
ROSE_2	RF01832	Repression of heat shock gene expression (ROSE) element
astro_FSE	RF01833	ribosomal frameshift site
fiv_FSE	RF01834	ribosomal frameshift site
HIV_FS2	RF01835	ribosomal frameshift site
weev_FSE	RF01836	ribosomal frameshift site
toga_FSE	RF01837	togavirus ribosomal frameshift element
sobemo_FSE	RF01838	sobemovirus ribosomal frameshift elemental
eeev_FSE	RF01839	eastern equine encephalitis ribosomal frameshift element
ovine_lenti_FSE	RF01840	ribosomal frameshift element
veev_FSE	RF01841	venezuelan equine encephalitis virus ribosomal frameshift element
mycoplasma_FSE	RF01842	mycoplasma ribosomal frameshift element
neisseria_FSE	RF01843	neiserria ribosomal frameshift element
SmY	RF01844	SmY spliceosomal RNA
enod40	RF01845	Early nodulin 40
Fungi_U3	RF01846	Fungal small nucleolar RNA U3
Plant_U3	RF01847	Plant small nucleolar RNA U3
ACEA_U3	RF01848	ACEA small nucleolar RNA U3
alpha_tmRNA	RF01849	Alphaproteobacteria transfer-messenger RNA
beta_tmRNA	RF01850	Betaproteobacteria transfer-messenger RNA
cyano_tmRNA	RF01851	Cyanobacteria transfer-messenger RNA
tRNA-Sec	RF01852	Selenocysteine transfer RNA
mtDNA_ssA	RF01853	Mitochondrial DNA control region secondary structure A
Bacteria_large_SRP	RF01854	Bacterial large signal recognition particle RNA
Plant_SRP	RF01855	Plant signal recognition particle RNA
Protozoa_SRP	RF01856	Protozoan signal recognition particle RNA
Archaea_SRP	RF01857	Archaeal signal recognition particle RNA
RsaF	RF01858	RNA Staph. aureus F
Phe_leader	RF01859	Phenylalanine leader peptide
Afu_455	RF01860	A. fumigatus snoRNA Afu_455
TB9Cs1H1	RF01861	Trypanosomatid snoRNA TB9Cs1H1
TB10Cs4H2	RF01862	Trypanosomatid snoRNA TB10Cs4H2
TB10Cs2H2	RF01863	Trypanosomatid snoRNA TB10Cs2H2
plasmodium_snoR21	RF01864	small nucleolar RNA snoR21
Vg1_ribozyme	RF01865	Manganese dependent ribozyme in Vg1 mRNA
ceN33	RF01866	C. elegans snoRNA ceN33
CC2171	RF01867	caulobacter sRNA CC2171
MALAT1	RF01871	Metastasis associated lung adenocarcinoma transcript 1
MEG3_2	RF01872	Maternally expressed 3 conserved region 2
PISRT1	RF01873	Polled intersex syndrome regulated transcript 1
MIAT_exon1	RF01874	Myocardial infarction associated transcript exon 1
MIAT_exon5_1	RF01875	Myocardial infarction associated transcript exon 5 conserved region 1
MIAT_exon5_2	RF01876	Myocardial infarction associated transcript exon 5 conserved region 2
MIAT_exon5_3	RF01877	Myocardial infarction associated transcript exon 5 conserved region 3
TUSC7	RF01879	Non-coding RNA LOC285194
Xist_exon1	RF01880	X-chromosome inactivation gene exon 1
Xist_exon4	RF01881	X-chromosome inactivation gene exon 4
TUG1_1	RF01882	Taurine upregulated gene 1 conserved region 1
TUG1_2	RF01883	Taurine upregulated gene 1 conserved region 2
LINC00901	RF01884	Non-coding RNA BC040587
HSR-omega_1	RF01885	Heat shock gene hsromega conserved region 1
HSR-omega_2	RF01886	Heat shock gene hsromega conserved region 2
DLX6-AS1_1	RF01887	Embryonic ventral forebrain RNA 1 conserved region 1
DLX6-AS1_2	RF01888	Embryonic ventral forebrain RNA 1 conserved region 2
lincRNA-p21_1	RF01889	LincRNA-p21 conserved region 1
lincRNA-p21_2	RF01890	LincRNA-p21 conserved region 2
TUG1_3	RF01891	Taurine upregulated gene 1 conserved region 3
TUG1_4	RF01892	Taurine upregulated gene 1 conserved region 4
PCA3_2	RF01894	Prostate cancer antigen RNA 3 conserved region 2
mir-193	RF01895	microRNA mir-193
mir-142	RF01896	microRNA mir-142
mir-188	RF01897	microRNA mir-188
mir-363	RF01898	microRNA mir-363
mir-2241	RF01899	microRNA mir-2241
mir-2024	RF01900	microRNA mir-2024
mir-284	RF01901	microRNA mir-284
MIR439	RF01902	microRNA MIR439
mir-500	RF01903	microRNA mir-500
HOTAIR_1	RF01904	HOTAIR conserved region 1
HOTAIR_2	RF01905	HOTAIR conserved region 2
HOTAIR_3	RF01906	HOTAIR conserved region 3
CDKN2B-AS	RF01909	CDKN2B antisense RNA 1 intronic convserved region
mir-506	RF01910	microRNA mir-506
MIR2118	RF01911	microRNA MIR2118
mir-2807	RF01912	microRNA mir-2807
mir-2778	RF01913	microRNA mir-2778
mir-932	RF01914	microRNA mir-932
mir-2238	RF01915	microRNA mir-2238
mir-988	RF01916	microRNA mir-988
MIR2587	RF01917	microRNA MIR2587
mir-1249	RF01918	microRNA mir-1249
mir-1419	RF01919	microRNA mir-1419
mir-764	RF01920	microRNA mir-764
mir-1296	RF01921	microRNA mir-1296
mir-654	RF01922	microRNA mir-654
mir-711	RF01923	microRNA mir-711
mir-2774	RF01924	microRNA mir-2774
MIR1428	RF01925	microRNA MIR1428
mir-981	RF01926	microRNA mir-981
MIR1222	RF01927	microRNA MIR1222
Mico1	RF01928	Maternal intergenic circadian oscillating RNA 1
bxd_1	RF01929	Bithoraxoid conserved region 1
bxd_2	RF01930	Bithoraxoid conserved region 2
bxd_3	RF01931	Bithoraxoid conserved region 3
bxd_4	RF01932	Bithoraxoid conserved region 4
bxd_5	RF01933	Bithoraxoid conserved region 5
bxd_6	RF01934	Bithoraxoid conserved region 6
bxd_7	RF01935	Bithoraxoid conserved region 7
mir-63	RF01936	microRNA mir-63
mir-2780	RF01937	microRNA mir-2780
mir-1251	RF01938	microRNA mir-1251
mir-761	RF01939	microRNA mir-761
hvt-mir-H	RF01940	microRNA hvt-mir-H9
MIR1223	RF01941	microRNA MIR1223
mir-1937	RF01942	microRNA mir-1937
mir-999	RF01943	microRNA mir-999
mir-2518	RF01944	microRNA mir-2518
mir-1388	RF01945	microRNA mir-1388
KCNQ1OT1_1	RF01946	KCNQ1 overlapping transcript 1 conserved region 1
KCNQ1OT1_2	RF01947	KCNQ1 overlapping transcript 1 conserved region 2
KCNQ1OT1_3	RF01948	KCNQ1 overlapping transcript 1 conserved region 3
KCNQ1OT1_5	RF01950	KCNQ1 overlapping transcript 1 conserved region 5
SOX2OT_exon1	RF01951	SOX2 overlapping transcript exon 1
SOX2OT_exon2	RF01952	SOX2 overlapping transcript exon 2
SOX2OT_exon3	RF01953	SOX2 overlapping transcript exon 3
SOX2OT_exon4	RF01954	SOX2 overlapping transcript exon 4
NEAT1_1	RF01955	Nuclear enriched abundant transcript 1 conserved region 1
NEAT1_2	RF01956	Nuclear enriched abundant transcript 1 conserved region 2
NEAT1_3	RF01957	Nuclear enriched abundant transcript 1 conserved region 3
SSU_rRNA_archaea	RF01959	Archaeal small subunit ribosomal RNA
SSU_rRNA_eukarya	RF01960	Eukaryotic small subunit ribosomal RNA
RMST_1	RF01962	Rhabdomyosarcoma 2 associated transcript conserved region 1
RMST_2	RF01963	Rhabdomyosarcoma 2 associated transcript conserved region 2
RMST_3	RF01964	Rhabdomyosarcoma 2 associated transcript conserved region 3
RMST_4	RF01965	Rhabdomyosarcoma 2 associated transcript conserved region 4
RMST_5	RF01966	Rhabdomyosarcoma 2 associated transcript conserved region 5
RMST_6	RF01967	Rhabdomyosarcoma 2 associated transcript conserved region 6
RMST_7	RF01968	Rhabdomyosarcoma 2 associated transcript conserved region 7
RMST_8	RF01969	Rhabdomyosarcoma 2 associated transcript conserved region 8
RMST_9	RF01970	Rhabdomyosarcoma 2 associated transcript conserved region 9
RMST_10	RF01971	Rhabdomyosarcoma 2 associated transcript conserved region 10
H19_1	RF01972	H19 conserved region 1
H19_2	RF01973	H19 conserved region 2
H19_3	RF01974	H19 conserved region 3
HOTAIRM1_1	RF01975	HOX antisense intergenic RNA myeloid 1 conserved region 1
HOTAIRM1_2	RF01976	HOX antisense intergenic RNA myeloid 1 conserved region 2
HOTAIRM1_3	RF01977	HOX antisense intergenic RNA myeloid 1 conserved region 3
HOTAIRM1_4	RF01978	HOX antisense intergenic RNA myeloid 1 conserved region 4
HOTAIRM1_5	RF01979	HOX antisense intergenic RNA myeloid 1 conserved region 5
PCGEM1	RF01981	Prostate-specific transcript 1
PYLIS_1	RF01982	Pyrrolysine insertion sequence 1
Pinc	RF01983	Pregnancy induced noncoding RNA
ZEB2_AS1_1	RF01984	ZEB2 antisense RNA 1 conserved region 1
ZEB2_AS1_2	RF01985	ZEB2 antisense RNA 1 conserved region 2
ZEB2_AS1_3	RF01986	ZEB2 antisense RNA 1 conserved region 3
ZEB2_AS1_4	RF01987	ZEB2 antisense RNA 1 conserved region 4
SECIS_2	RF01988	Selenocysteine insertion sequence 2
SECIS_3	RF01989	Selenocysteine insertion sequence 3
SECIS_4	RF01990	Selenocysteine insertion sequence 4
SECIS_5	RF01991	Selenocysteine insertion sequence 5
VIS1	RF01992	Viral integration site 1
mir-995	RF01996	microRNA mir-995
mir-969	RF01997	microRNA mir-969
group-II-D1D4-1	RF01998	Group II catalytic intron D1-D4-1
group-II-D1D4-2	RF01999	Group II catalytic intron D1-D4-2
MIR1846	RF02000	microRNA MIR1846
group-II-D1D4-3	RF02001	Group II catalytic intron D1-D4-3
mir-720	RF02002	microRNA mir-720
group-II-D1D4-4	RF02003	Group II catalytic intron D1-D4-4
group-II-D1D4-5	RF02004	Group II catalytic intron D1-D4-5
group-II-D1D4-6	RF02005	Group II catalytic intron D1-D4-6
mir-1253	RF02006	microRNA mir-1253
mir-1237	RF02007	microRNA mir-1237
mir-621	RF02008	microRNA mir-621
mir-987	RF02009	microRNA mir-987
mir-3180	RF02010	microRNA mir-3180
mir-575	RF02011	microRNA mir-575
group-II-D1D4-7	RF02012	Group II catalytic intron D1-D4-7
mir-1280	RF02013	microRNA mir-1280
mir-1178	RF02014	microRNA mir-1178
mir-1287	RF02015	microRNA mir-1287
mir-1183	RF02016	microRNA mir-1183
mir-1912	RF02017	microRNA mir-1912
mir-1207	RF02018	microRNA mir-1207
mir-1265	RF02019	microRNA mir-1265
mir-25	RF02020	microRNA mir-25
mir-3179	RF02021	microRNA mir-3179
mir-1275	RF02022	microRNA mir-1275
mir-1208	RF02023	microRNA mir-1208
mir-1180	RF02024	microRNA mir-1180
mir-3017	RF02025	microRNA mir-3017
mir-2833	RF02026	microRNA mir-2833
MIR2907	RF02027	microRNA MIR2907
mir-1827	RF02028	microRNA mir-1827
sraA	RF02029	sraA
tp2	RF02030	tp2
tpke11	RF02031	tpke11
GOLLD	RF02032	Giant, ornate, lake- and Lactobacillales-derived (GOLLD) RNA
HEARO	RF02033	HNH endonuclease-associated RNA and ORF (HEARO) RNA
IMES-1	RF02034	IMES-1 RNA motif
IMES-2	RF02035	IMES-2 RNA motif
IMES-3	RF02036	IMES-3 RNA motif
IMES-4	RF02037	IMES-4 RNA motif
SPRY4-IT1_1	RF02038	SPRY4-IT1 conserved region 1
SPRY4-IT1_2	RF02039	SPRY4-IT1 conserved region 2
HOTTIP_1	RF02040	HOXA transcript at the distal tip, conserved region 1
HOTTIP_2	RF02041	HOXA transcript at the distal tip, conserved region 2
HOTTIP_3	RF02042	HOXA transcript at the distal tip, conserved region 3
HOTTIP_4	RF02043	HOXA transcript at the distal tip, conserved region 4
CDKN2B-AS_2	RF02044	CDKN2B antisense RNA 1 convserved region 2
CDKN2B-AS_3	RF02045	CDKN2B antisense RNA 1 convserved region 3
Sphinx_1	RF02046	Sphinx_ conserved region 1
Sphinx_2	RF02047	Sphinx conserved region 2
STnc30	RF02048	Salmonella enterica conserved region STnc30
STnc460	RF02049	Salmonella enterica sRNA STnc460
STnc470	RF02050	Salmonella enterica sRNA STnc470
STnc450	RF02051	Enterobacterial sRNA STnc450
STnc630	RF02052	Enterobacterial sRNA STnc630
STnc430	RF02053	Enterobacterial sRNA STnc430
STnc420	RF02054	Salmonella enterica sRNA STnc420
STnc380	RF02055	Enterobacterial sRNA STnc380
STnc390	RF02056	Salmonella sRNA STnc390
STnc40	RF02057	Salmonella enterica sRNA STnc40
STnc400	RF02058	Gammaproteobacterial sRNA STnc400
STnc50	RF02059	Salmonella enterica sRNA STnc40
STnc410	RF02060	Enterobacterial sRNA STnc410
mir-301	RF02061	microRNA mir-301
STnc361	RF02062	Salmonella enterica sRNA STnc361
STnc350	RF02063	Salmonella enterica sRNA STnc350
STnc370	RF02064	Enterobacterial sRNA STnc370
STnc340	RF02065	Enterobacterial sRNA STnc340
STnc320	RF02066	Salmonella enterica sRNA STnc320
STnc310	RF02067	Salmonella enterica sRNA STnc310
STnc480	RF02068	Enterobacterial sRNA STnc480
STnc70	RF02069	Enterobacterial sRNA STnc70
STnc300	RF02070	Salmonella enterica sRNA STnc300
STnc280	RF02071	Salmonella enterica sRNA STnc280
STnc590	RF02072	Salmonella enterica sRNA STnc590
STnc260	RF02073	Salmonella enterica sRNA STnc260
STnc240	RF02074	Enterobacterial sRNA STnc240
STnc230	RF02075	Enterobacterial sRNA STnc230
STnc100	RF02076	Gammaproteobacterial sRNA STnc100
STnc220	RF02077	Salmonella enterica sRNA STnc220
STnc210	RF02078	Salmonella enterica sRNA STnc210
STnc180	RF02079	Enterobacterial sRNA STnc180
STnc170	RF02080	Salmonella enterica sRNA STnc170
STnc550	RF02081	Enterobacterial sRNA STnc550
STnc540	RF02082	Enterobacterial sRNA STnc540
OrzO-P	RF02083	OrzO-P RNA antitoxin family
STnc130	RF02084	Enterobacteria sRNA STnc130
Yar_1	RF02085	Yellow-achaete intergenic RNA conserved region 1
Yar_2	RF02086	Yellow-achaete intergenic RNA conserved region 2
Yar_3	RF02087	Yellow-achaete intergenic RNA conserved region 3
STnc510	RF02088	Enterobacterial sRNA STnc510
CLRN1-AS1	RF02089	CLRN1 antisense RNA 1 conserved region
DAOA-AS1_1	RF02090	DAOA antisense RNA 1 conserved region 1
DAOA-AS1_2	RF02091	DAOA antisense RNA 1 conserved region 2
mir-2970	RF02092	mir-2970 microRNA precursor
mir-2968	RF02093	mir-2968 microRNA precursor
mir-1803	RF02094	mir-1803 microRNA precursor
mir-2985-2	RF02095	mir-2985-2 microRNA precursor
mir-2973	RF02096	mir-2973 microRNA precursor
mir-1662	RF02097	mir-1662 microRNA precursor
DGCR5	RF02098	DiGeorge syndrome critical region gene 5 conserved region
rivX	RF02099	rivX sRNA
tfoR	RF02100	Translational regulator of tfoXVC
HULC	RF02101	Highly up-regulated in liver cancer conserved region
DISC2	RF02102	Disrupted in schizophrenia 2 conserved region
DLEU1_1	RF02103	Deleted in lymphocytic leukemia 1 conserved region 1
DLEU1_2	RF02104	Deleted in lymphocytic leukemia 1 conserved region 2
DLEU2_1	RF02105	Deleted in lymphocytic leukemia 2 conserved region 1
DLEU2_2	RF02106	Deleted in lymphocytic leukemia 2 conserved region 2
DLEU2_3	RF02107	Deleted in lymphocytic leukemia 2 conserved region 3
DLEU2_4	RF02108	Deleted in lymphocytic leukemia 2 conserved region 4
DLEU2_5	RF02109	Deleted in lymphocytic leukemia 2 conserved region 5
DLEU2_6	RF02110	Deleted in lymphocytic leukemia 2 conserved region 6
IS009	RF02111	IS009
DLG2-AS1_1	RF02112	DLG2 antisense RNA 1 conserved region 1
DLG2-AS1_2	RF02113	DLG2 antisense RNA 1 conserved region 2
FAM13A-AS1_1	RF02114	FAM13A antisense RNA 1 conserved region 1
FAM13A-AS1_2	RF02115	FAM13A antisense RNA 1 conserved region 2
FAS-AS1	RF02116	FAS antisense RNA 1 conserved region
FMR1-AS1_1	RF02117	FMR1 antisense RNA 1 conserved region 1
FMR1-AS1_2	RF02118	FMR1 antisense RNA 1 conserved region 2
FTX_1	RF02119	FTX transcript, XIST regulator conserved region 1
FTX_2	RF02120	FTX transcript, XIST regulator conserved region 2
FTX_3	RF02121	FTX transcript, XIST regulator conserved region 3
FTX_5	RF02122	FTX transcript, XIST regulator conserved region 5
FTX_4	RF02123	FTX transcript, XIST regulator conserved region 4
JPX_1	RF02124	JPX transcript, XIST activator conserved region 1
JPX_2	RF02125	JPX transcript, XIST activator conserved region 2
GHRLOS	RF02126	Ghrelin opposite strand RNA conserved region
GNAS-AS1_1	RF02127	GNAS antisense RNA 1 conserved region 1
GNAS-AS1_2	RF02128	GNAS antisense RNA 1 conserved region 2
GNAS-AS1_3	RF02129	GNAS antisense RNA 1 conserved region 3
GNAS-AS1_4	RF02130	GNAS antisense RNA 1 conserved region 4
GNAS-AS1_5	RF02131	GNAS antisense RNA 1 conserved region 5
HOXB13-AS1_1	RF02132	HOXB13 antisense RNA 1 conserved region 1
HOXB13-AS1_2	RF02133	HOXB13 antisense RNA 1 conserved region 2
HTT-AS1_1	RF02134	HTT antisense RNA 1 conserved region 1
HTT-AS1_2	RF02135	HTT antisense RNA 1 conserved region 2
HTT-AS1_3	RF02136	HTT antisense RNA 1 conserved region 3
HOXA11-AS1_1	RF02137	HOXA11 antisense RNA 1 conserved region 1
HOXA11-AS1_2	RF02138	HOXA11 antisense RNA 1 conserved region 2
HOXA11-AS1_3	RF02139	HOXA11 antisense RNA 1 conserved region 3
HOXA11-AS1_4	RF02140	HOXA11 antisense RNA 1 conserved region 4
HOXA11-AS1_5	RF02141	HOXA11 antisense RNA 1 conserved region 5
HOXA11-AS1_6	RF02142	HOXA11 antisense RNA 1 conserved region 6
HYMAI	RF02143	Hydatidiform mole associated and imprinted conserved region 1
rsmX	RF02144	rsmX
MEG8_1	RF02145	Maternally expressed 8 exon 1
MEG8_2	RF02146	Maternally expressed 8 exon 2
MEG8_3	RF02147	Maternally expressed 8 exon 3
MESTIT1_1	RF02148	MEST intronic transcript 1, antisense RNA conserved region 1
MESTIT1_2	RF02149	MEST intronic transcript 1, antisense RNA conserved region 2
MESTIT1_3	RF02150	MEST intronic transcript 1, antisense RNA conserved region 3
MIMT1_1	RF02151	MER1 repeat containing imprinted transcript 1 conserved region 1
NBR2	RF02153	Neighbour of BRCA1 gene 2 converved region
NCRUPAR_1	RF02154	Non-protein coding RNA, upstream of F2R/PAR1 conserved region 1
NCRUPAR_2	RF02155	Non-protein coding RNA, upstream of F2R/PAR1 conserved region 2
NPPA-AS1_1	RF02156	NPPA antisense RNA 1 conserved region 1
NPPA-AS1_2	RF02157	NPPA antisense RNA 1 conserved region 2
NPPA-AS1_3	RF02158	NPPA antisense RNA 1 conserved region 3
PART1_1	RF02159	Prostate androgen-regulated transcript 1 conserved region 1
PART1_2	RF02160	Prostate androgen-regulated transcript 1 conserved region 2
PART1_3	RF02161	Prostate androgen-regulated transcript 1 conserved region 3
XIST_A_REPEAT	RF02162	XIST RNA A repeat
sR-tMet	RF02163	Small nucleolar RNA sR-tMet
PVT1_1	RF02164	Pvt1 oncogene conserved region 1
PVT1_2	RF02165	Pvt1 oncogene conserved region 2
PVT1_3	RF02166	Pvt1 oncogene conserved region 3
PVT1_4	RF02167	Pvt1 oncogene conserved region 4
PVT1_5	RF02168	Pvt1 oncogene conserved region 5
PVT1_6	RF02169	Pvt1 oncogene conserved region 6
PVT1_7	RF02170	Pvt1 oncogene conserved region 7
RFPL3-AS1_1	RF02171	RFPL3 antisense RNA 1 conserved region 1
RFPL3-AS1_2	RF02172	RFPL3 antisense RNA 1 conserved region 2
SMAD5-AS1_1	RF02173	SMAD5 antisense RNA 1 conserved region 1
SMAD5-AS1_2	RF02174	SMAD5 antisense RNA 1 conserved region 2
SMAD5-AS1_3	RF02175	SMAD5 antisense RNA 1 conserved region 3
SMAD5-AS1_4	RF02176	SMAD5 antisense RNA 1 conserved region 4
SMCR2_1	RF02177	Smith-Magenis syndrome chromosome region, candidate 2 conserved region 1
SMCR2_2	RF02178	Smith-Magenis syndrome chromosome region, candidate 2 conserved region 2
ST7-AS1_1	RF02179	ST7 antisense RNA 1 conserved region 1
ST7-AS1_2	RF02180	ST7 antisense RNA 1 conserved region 2
ST7-AS2_1	RF02181	ST7 antisense RNA 2 conserved region 1
ST7-AS2_2	RF02182	ST7 antisense RNA 2 conserved region 2
ST7-OT3_1	RF02183	ST7 overlapping transcript 3 conserved region 1
ST7-OT3_2	RF02184	ST7 overlapping transcript 3 conserved region 2
ST7-OT3_3	RF02185	ST7 overlapping transcript 3 conserved region 3
ST7-OT3_4	RF02186	ST7 overlapping transcript 3 conserved region 4
ST7-OT4_1	RF02187	ST7 overlapping transcript 4 conserved region 1
ST7-OT4_2	RF02188	ST7 overlapping transcript 4 conserved region 2
ST7-OT4_3	RF02189	ST7 overlapping transcript 4 conserved region 3
ST7-OT4_4	RF02190	ST7 overlapping transcript 4 conserved region 4
TCL6_1	RF02191	T-cell leukemia/lymphoma 6 conserved region 1
TCL6_2	RF02192	T-cell leukemia/lymphoma 6 conserved region 2
TCL6_3	RF02193	T-cell leukemia/lymphoma 6 conserved region 3
HPnc0260	RF02194	Bacterial antisense RNA HPnc0260
TP53TG1_1	RF02195	TP53 target 1 conserved region 1
TP53TG1_2	RF02196	TP53 target 1 conserved region 2
TP73-AS1	RF02197	TP73 antisense RNA 1 conserved region
TTC28-AS1_1	RF02198	TTC28 antisense RNA 1 conserved region 1
TTC28-AS1_2	RF02199	TTC28 antisense RNA 1 conserved region 2
TTC28-AS1_3	RF02200	TTC28 antisense RNA 1 conserved region 3
TTC28-AS1_4	RF02201	TTC28 antisense RNA 1 conserved region 4
UCA1	RF02202	Urothelial cancer associated 1 conserved region
WT1-AS_1	RF02203	WT1 antisense RNA conserved region 1
WT1-AS_2	RF02204	WT1 antisense RNA conserved region 2
WT1-AS_3	RF02205	WT1 antisense RNA conserved region 3
WT1-AS_4	RF02206	WT1 antisense RNA conserved region 4
WT1-AS_5	RF02207	WT1 antisense RNA conserved region 5
WT1-AS_6	RF02208	WT1 antisense RNA conserved region 6
WT1-AS_7	RF02209	WT1 antisense RNA conserved region 7
WT1-AS_8	RF02210	WT1 antisense RNA conserved region 8
ZFAT-AS1_1	RF02211	ZFAT antisense RNA 1 conserved region 1
ZFAT-AS1_2	RF02212	ZFAT antisense RNA 1 conserved region 2
ZFAT-AS1_3	RF02213	ZFAT antisense RNA 1 conserved region 3
mir-56	RF02214	microRNA mir-56
ZNFX1-AS1_1	RF02215	ZNFX1 antisense RNA 1 conserved region 1
ZNFX1-AS1_2	RF02216	ZNFX1 antisense RNA 1 conserved region 2
ZNFX1-AS1_3	RF02217	ZNFX1 antisense RNA 1 conserved region 3
ZNRD1-AS1_1	RF02218	ZNRD1 antisense RNA 1 conserved region 1
ZNRD1-AS1_2	RF02219	ZNRD1 antisense RNA 1 conserved region 2
ZNRD1-AS1_3	RF02220	ZNRD1 antisense RNA 1 conserved region 3
sRNA-Xcc1	RF02221	sRNA-Xcc1
sX2	RF02222	Xanthomonas sRNA sX2
sX4	RF02223	Proteobacterial sRNA sX4
sX5	RF02224	Xanthomonadaceae sRNA sX5
sX6	RF02225	Proteobacterial sRNA sX6
sX7	RF02226	Xanthomonas sRNA sX7
sX8	RF02227	Proteobacterial sRNA sX8
sX9	RF02228	Xanthomonas sRNA sX9
sX11	RF02230	Proteobacterial sRNA sX11
sX12	RF02231	Xanthomonas sRNA sX12
sX13	RF02232	Xanthomonadaceae sRNA sX13
sX14	RF02233	Xanthomonas sRNA sX14/Xoo3
sX15	RF02234	Xanthomonadaceae sRNA sX15
asX1	RF02235	Xanthomonadaceae sRNA asX1
asX2	RF02236	Xanthomonas sRNA asX2
asX3	RF02237	Xanthomonas sRNA asX3
asX4	RF02238	Xanthomonas sRNA asX4/Xoo4
asX6	RF02239	Xanthomonas sRNA asX6
Xoo1	RF02240	Xanthomonadaceae sRNA Xoo1
Xoo2	RF02241	Xanthomonadaceae sRNA Xoo2
Xoo5	RF02242	Xanthomonadaceae sRNA Xoo5
Xoo8	RF02243	Proteobacterial sRNA Xoo8
mir-785	RF02244	microRNA mir-785
mir-788	RF02245	microRNA mir-788
Six3os1_1	RF02246	Six3os1 conserved region 1
Six3os1_2	RF02247	Six3os1 conserved region 2
Six3os1_3	RF02248	Six3os1 conserved region 3
Six3os1_4	RF02249	Six3os1 conserved region 4
